UserID,Income,HousingExpense,TransportationExpense,FoodExpense,UtilitiesExpense,EntertainmentExpense,Savings,HousingBudget,TransportationBudget,FoodBudget,UtilitiesBudget,EntertainmentBudget,SavingsBudget
1,10993,2199,364,2046,827,415,442,34.94358811,5.784204672,32.51231527,13.14158589,6.594628953,7.023677102
2,9723,1962,471,2569,993,409,684,27.68058691,6.64503386,36.24435666,14.00959368,5.770316027,9.650112867
3,11295,1529,341,2793,1003,140,528,24.13956426,5.383643827,44.09535838,15.83517524,2.210293653,8.335964635
4,13046,1176,438,3943,1094,433,726,15.05761844,5.608194622,50.4865557,14.00768246,5.544174136,9.295774648
5,9531,1849,121,3278,726,646,892,24.61395101,1.610756124,43.63684771,9.664536741,8.599574015,11.8743344
6,9531,1696,542,2332,1118,245,1418,23.07169093,7.373146511,31.72357502,15.20881513,3.33287988,19.28989253
7,13158,1947,500,3243,459,709,839,25.2955697,6.496037417,42.13329869,5.963362349,9.211381058,10.90035079
8,11534,1817,336,2226,874,597,207,29.99834902,5.547300644,36.75086677,14.4295856,9.856364537,3.417533432
9,9061,2024,631,3541,902,353,1570,22.43653697,6.994789935,39.25285445,9.998891475,3.913091675,17.40383549
10,11085,1232,687,2764,1126,471,581,17.9565661,10.01311762,40.28567264,16.41160181,6.8648885,8.46815333
11,9073,2158,178,2953,1004,819,970,26.70131156,2.202425142,36.53798565,12.42266766,10.13363029,12.00197971
12,9068,1598,347,3662,718,646,1223,19.50207469,4.234805956,44.69123749,8.762509153,7.883817427,14.92555528
13,10483,2537,346,2356,803,501,1099,33.19811568,4.527610573,30.82962575,10.50772049,6.555875425,14.38105208
14,6173,1155,312,2301,1039,452,1547,16.97032031,4.58419042,33.80840435,15.26594182,6.641198942,22.72994417
15,6550,2367,665,2708,984,515,1239,27.91932059,7.843831092,31.94149564,11.60651097,6.074545883,14.61429582
16,8875,1598,461,3519,884,397,569,21.51319332,6.206246634,47.37479806,11.90091546,5.344641896,7.660204631
17,7974,1174,447,2240,903,79,2089,16.93594922,6.448355453,32.31390652,13.02654357,1.139642239,30.135603
18,10628,1258,99,1583,1139,908,1097,20.67718606,1.627218935,26.0190664,18.72123603,14.92439185,18.03090072
19,8183,1339,627,2774,896,531,926,18.87776681,8.839701114,39.10898069,12.63217256,7.486254053,13.05512477
20,7175,1712,252,3275,982,579,1481,20.67383166,3.043110735,39.54836372,11.8584712,6.99190919,17.88431349
21,12931,1761,511,3600,1433,488,1124,19.74879444,5.730626892,40.37232253,16.07042727,5.47269261,12.60513626
22,9548,1213,555,2768,715,352,1199,17.8329903,8.159364893,40.69391355,10.51161423,5.174948545,17.62716848
23,10135,1487,772,2794,629,462,2246,17.72348033,9.201430274,33.30154946,7.497020262,5.506555423,26.76996424
24,7150,2571,238,3576,1156,180,862,29.95456134,2.77292322,41.66375393,13.46848421,2.097168822,10.04310847
25,8911,2363,-103,2065,864,955,841,33.82963493,-1.474588404,29.56335004,12.36936292,13.67215462,12.0400859
26,10221,1718,536,2805,936,253,1058,23.51491924,7.336435806,38.39310156,12.8113879,3.4629072,14.48124829
27,7698,1519,860,3095,843,293,1535,18.64947821,10.55862492,37.99877225,10.34990792,3.597298956,18.84591774
28,10751,1560,747,3224,948,411,246,21.86098655,10.46804933,45.1793722,13.28475336,5.759529148,3.447309417
29,8798,1806,541,2745,1319,757,17,25.13569937,7.529575505,38.2045929,18.35768963,10.53583855,0.236604036
30,9416,988,401,3017,1160,502,706,14.58517862,5.919692944,44.53793918,17.12429879,7.410687924,10.42220254
31,8796,1371,661,1755,1172,252,183,25.41713014,12.25435669,32.53615128,21.72784575,4.67185762,3.392658509
32,13704,665,305,2670,716,750,787,11.28457492,5.175632106,45.30799253,12.15000848,12.72696419,13.35482776
33,9973,1699,595,3226,769,646,1251,20.75494747,7.268507207,39.40874664,9.394087466,7.891522111,15.2821891
34,7884,1823,601,2508,432,607,554,27.93869732,9.210727969,38.43678161,6.620689655,9.302681992,8.490421456
35,11645,1258,712,3029,838,643,286,18.59296482,10.52320426,44.76795743,12.3854567,9.50339935,4.22701744
36,7558,2286,1051,3223,1191,978,1034,23.41493393,10.76513367,33.01239373,12.19911912,10.01741268,10.59100686
37,10417,887,578,2828,1103,937,1431,11.42452344,7.444616177,36.42452344,14.20659454,12.06852138,18.43122102
38,6080,767,398,3085,955,362,152,13.41143557,6.959258612,53.94299703,16.69872355,6.329777933,2.657807309
39,7343,1612,494,2518,995,824,1410,20.52718706,6.290589584,32.06417929,12.67031708,10.4928053,17.95492169
40,10393,2023,146,2896,862,576,1408,25.57198837,1.845531538,36.60725572,10.89622045,7.281001138,17.79800278
41,11476,2341,361,3305,1040,599,1477,25.66041872,3.957031678,36.22711827,11.39975885,6.565822646,16.18984983
42,10342,1270,418,3078,1153,161,1609,16.51710235,5.436337625,40.03121342,14.99544804,2.093900377,20.92599818
43,9768,2039,395,2706,676,465,2101,24.32593653,4.712479122,32.28346457,8.064900978,5.547602004,25.0656168
44,9397,1480,530,3112,1059,337,821,20.16623518,7.221692329,42.40359722,14.42975882,4.591906254,11.18681019
45,7042,1413,335,3357,1186,665,1054,17.64044944,4.18227216,41.91011236,14.80649189,8.302122347,13.15855181
46,8560,1941,724,1975,916,714,791,27.48902422,10.25350517,27.97054242,12.97266676,10.11188217,11.20237927
47,9078,1826,500,3579,1140,85,1000,22.4600246,6.150061501,44.02214022,14.02214022,1.045510455,12.300123
48,12114,711,498,2831,1562,495,1766,9.042350248,6.333460511,36.00406969,19.8651914,6.295307135,22.45962101
49,10687,2238,434,3212,979,724,327,28.27899924,5.483952489,40.58630275,12.37048269,9.148344706,4.13191812
